tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
80875,0.38623047,-325.427,-93.95439,-1650.8627,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80876,0.38623047,-326.9563,-93.95439,-1651.9366,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80877,0.37078857,-328.47583,-93.92349,-1653.0244,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80878,0.37078857,-329.98633,-93.846245,-1654.1248,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80879,0.35534668,-331.4884,-93.769,-1655.2366,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80880,0.35534668,-332.98273,-93.69175,-1656.3588,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80881,0.35534668,-334.46967,-93.6454,-1657.4907,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80882,0.35534668,-335.9497,-93.56815,-1658.6316,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80883,0.35534668,-337.42334,-93.46001,-1659.7808,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80884,0.35534668,-338.89062,-93.32096,-1660.938,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80885,0.33988953,-340.352,-93.197365,-1662.1028,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80886,0.33988953,-341.80762,-93.10501,-1663.2747,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80887,0.33988953,-343.25793,-93.02776,-1664.4531,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
80888,0.33988953,-344.70325,-92.950516,-1665.6377,-167.96875,76561198380850569,huh;,0,deagle,pistol,159.85240024717254,0.15414429,-0.10814667,0.30077195
