pitch,yaw,tick,steamid,kill_event_id,segment_number,segment_id
-1.1439514,156.34985,2164,76561198389634571,3,5,3_5
-1.1439514,156.34985,2165,76561198389634571,3,5,3_5
-1.1439514,156.34985,2166,76561198389634571,3,5,3_5
-1.1439514,156.34985,2167,76561198389634571,3,5,3_5
-1.1439514,156.34985,2168,76561198389634571,3,5,3_5
-1.1439514,156.34985,2169,76561198389634571,3,5,3_5
-1.1439514,156.34985,2170,76561198389634571,3,5,3_5
-1.1439514,156.34985,2171,76561198389634571,3,6,3_6
-1.1439514,156.34985,2172,76561198389634571,3,6,3_6
-1.1439514,156.34985,2173,76561198389634571,3,6,3_6
-1.1439514,156.34985,2174,76561198389634571,3,6,3_6
-1.1439514,156.34985,2175,76561198389634571,3,6,3_6
-1.1439514,156.34985,2176,76561198389634571,3,6,3_6
-1.1439514,156.34985,2177,76561198389634571,3,6,3_6
-1.1439514,156.34985,2178,76561198389634571,3,6,3_6
-1.1439514,156.34985,2179,76561198389634571,3,6,3_6
-1.1439514,156.34985,2180,76561198389634571,3,6,3_6
-1.1439514,156.34985,2181,76561198389634571,3,6,3_6
-1.1439514,156.34985,2182,76561198389634571,3,6,3_6
-1.1439514,156.34985,2183,76561198389634571,3,6,3_6
-1.1439514,156.34985,2184,76561198389634571,3,6,3_6
-1.1439514,156.34985,2185,76561198389634571,3,6,3_6
-1.1439514,156.34985,2186,76561198389634571,3,6,3_6
-1.1439514,156.34985,2187,76561198389634571,3,6,3_6
-1.1439514,156.34985,2188,76561198389634571,3,6,3_6
-1.1439514,156.34985,2189,76561198389634571,3,6,3_6
-1.1439514,156.34985,2190,76561198389634571,3,6,3_6
-1.1439514,156.34985,2191,76561198389634571,3,6,3_6
-1.1439514,156.34985,2192,76561198389634571,3,6,3_6
-1.1439514,156.34985,2193,76561198389634571,3,6,3_6
-1.1439514,156.34985,2194,76561198389634571,3,6,3_6
-1.1439514,156.34985,2195,76561198389634571,3,6,3_6
-1.1439514,156.34985,2196,76561198389634571,3,6,3_6
-1.1439514,156.34985,2197,76561198389634571,3,6,3_6
-1.1439514,156.34985,2198,76561198389634571,3,6,3_6
-1.1439514,156.34985,2199,76561198389634571,3,6,3_6
-1.1439514,156.34985,2200,76561198389634571,3,6,3_6
-1.1439514,156.34985,2201,76561198389634571,3,6,3_6
-1.1439514,156.34985,2202,76561198389634571,3,6,3_6
-1.1439514,156.34985,2203,76561198389634571,3,7,3_7
-1.1439514,156.34985,2204,76561198389634571,3,7,3_7
-1.1439514,156.34985,2205,76561198389634571,3,7,3_7
-1.1439514,156.34985,2206,76561198389634571,3,7,3_7
-1.1439514,156.34985,2207,76561198389634571,3,7,3_7
-1.1439514,156.34985,2208,76561198389634571,3,7,3_7
-1.1439514,156.34985,2209,76561198389634571,3,7,3_7
-1.1439514,156.34985,2210,76561198389634571,3,7,3_7
-1.1439514,156.34985,2211,76561198389634571,3,7,3_7
-1.1659241,156.39417,2212,76561198389634571,3,7,3_7
-1.1878967,156.61389,2213,76561198389634571,3,7,3_7
-1.231842,156.72409,2214,76561198389634571,3,7,3_7
-1.2541504,156.1521,2215,76561198389634571,3,7,3_7
-1.2541504,155.36008,2216,76561198389634571,3,7,3_7
-1.342041,152.06006,2217,76561198389634571,3,7,3_7
-1.6719818,146.64792,2218,76561198389634571,3,7,3_7
-1.7378998,144.77817,2219,76561198389634571,3,7,3_7
-1.848114,139.73993,2220,76561198389634571,3,7,3_7
-1.914032,137.71603,2221,76561198389634571,3,7,3_7
-2.045868,134.87811,2222,76561198389634571,3,7,3_7
-2.0681763,133.71219,2223,76561198389634571,3,7,3_7
-2.0238953,133.60199,2224,76561198389634571,3,7,3_7
-1.9579773,133.71219,2225,76561198389634571,3,7,3_7
-1.9360046,133.80008,2226,76561198389634571,3,7,3_7
-1.8700867,133.97586,2227,76561198389634571,3,7,3_7
-1.848114,134.06409,2228,76561198389634571,3,7,3_7
-1.848114,134.10803,2229,76561198389634571,3,7,3_7
-1.848114,134.15198,2230,76561198389634571,3,7,3_7
-1.914032,134.23987,2231,76561198389634571,3,7,3_7
