tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
13951,10.834579,640.21625,-161.04996,208.7859,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13952,11.531525,639.80743,-160.51129,210.10632,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13953,11.911591,639.3854,-160.06772,211.44717,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13954,12.038269,638.95,-159.81433,212.80838,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13955,12.038269,638.5016,-159.71924,214.19,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13956,12.006683,638.0403,-159.65607,215.59207,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13957,11.943512,637.5666,-159.62448,217.01472,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13958,11.531525,637.081,-159.78275,218.45811,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13959,11.087952,636.5851,-160.22632,219.92278,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
13960,10.739471,636.08075,-160.92328,221.40932,-414.96875,76561198991264495,✝****MFS | GaBorO****✝,0,usp_silencer,pistol,457.9430201718276,0.0,0.19018555,1.5025933
