tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
6071,2.4708862,-96.168396,-33.175964,-791.1045,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6072,2.4708862,-95.371826,-33.175964,-794.7689,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6073,2.4708862,-94.57745,-33.175964,-798.43384,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6074,2.4708862,-93.78534,-33.175964,-802.09924,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6075,2.4708862,-92.994995,-33.175964,-805.765,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6076,2.4708862,-92.20648,-33.175964,-809.43115,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6077,2.4708862,-91.4198,-33.175964,-813.0977,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6078,2.4708862,-90.63434,-33.144043,-816.7645,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6079,2.4708862,-89.84979,-33.08087,-820.4315,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6080,2.4708862,-89.06586,-33.01735,-824.0987,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6081,2.5028229,-88.28125,-32.795563,-827.7657,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6082,2.5344086,-87.49524,-32.6373,-831.4324,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6083,2.5344086,-86.70679,-32.415497,-835.0986,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6084,2.5659943,-85.91498,-32.193726,-838.76404,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6085,2.5659943,-85.11932,-32.06703,-842.42865,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6086,2.597931,-84.31964,-31.971924,-846.0924,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6087,2.597931,-83.51636,-31.971924,-849.7554,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6088,2.597931,-82.70947,-31.971924,-853.41754,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6089,2.597931,-81.89996,-32.06703,-857.0791,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6090,2.4708862,-81.091125,-32.6373,-860.74084,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6091,2.2810364,-80.291565,-34.316483,-864.4046,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6092,2.2494507,-79.5105,-36.18553,-868.0724,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6093,2.2810364,-78.76434,-39.353363,-871.74744,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
6094,2.312622,-78.0694,-42.90161,-875.4325,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,elite,unknown,203.0673040201233,-0.031585693,-0.3800583,3.0296307
