tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
25542,8.680237,565.0304,-97.30934,180.187,-611.81006,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25543,8.680237,564.2851,-97.30934,177.23164,-612.7634,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25544,8.680237,563.56354,-97.30934,174.23009,-613.7317,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25545,8.680237,562.864,-97.30934,171.18591,-614.7137,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25546,8.680237,562.18463,-97.30934,168.1027,-615.70825,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25547,8.680237,561.5237,-97.30934,164.98361,-616.7144,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25548,8.680237,560.8796,-97.34093,161.83179,-617.73114,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25549,8.680237,560.25073,-97.34093,158.6499,-618.75757,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25550,8.680237,559.6362,-97.34093,155.4402,-619.7929,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25551,8.680237,559.0344,-97.40444,152.20497,-620.83655,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25552,8.617065,558.44336,-97.5943,148.94655,-621.88763,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25553,8.585129,557.8606,-97.91119,145.6668,-622.9456,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25554,8.553543,557.2842,-98.16456,142.36794,-624.00977,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25555,8.553543,556.71326,-98.41793,139.05743,-625.0777,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25556,8.648651,556.1483,-98.481445,135.7459,-626.14594,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25557,8.648651,555.58923,-98.481445,132.43338,-627.2145,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25558,8.648651,555.03516,-98.481445,129.12001,-628.2833,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25559,8.648651,554.48596,-98.481445,125.80583,-629.3524,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25560,8.648651,553.9412,-98.481445,122.49091,-630.42175,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25561,8.648651,553.4005,-98.481445,119.17534,-631.4913,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25562,8.648651,552.86346,-98.481445,115.85918,-632.561,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25563,8.648651,552.32996,-98.481445,112.542435,-633.6309,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25564,8.648651,551.79956,-98.481445,109.22519,-634.701,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25565,8.648651,551.27185,-98.481445,105.90752,-635.77124,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25566,8.648651,550.7095,-98.481445,102.60831,-636.83545,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25567,8.648651,549.96436,-98.481445,99.40342,-637.8693,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25568,8.648651,549.0085,-98.481445,96.30736,-638.86804,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25569,8.648651,547.8983,-98.481445,93.291145,-639.96954,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25570,8.648651,546.64575,-98.70323,90.34896,-639.9695,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25571,8.648651,545.2602,-99.36859,87.47768,-639.9695,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25572,8.648651,543.7504,-100.12871,84.67457,-639.9694,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25573,8.680237,542.12335,-101.14254,81.938484,-639.96936,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25574,8.680237,540.38556,-102.25147,79.268524,-639.9693,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25575,8.712158,538.5439,-103.01159,76.66236,-639.96924,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25576,8.712158,536.60486,-103.86715,74.118645,-639.9691,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25577,8.712158,534.5739,-104.72237,71.636055,-639.96906,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25578,8.680237,532.4568,-105.4509,69.21272,-639.969,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25579,8.617065,530.25903,-106.11626,66.847046,-639.9689,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25580,8.521957,527.98584,-106.7181,64.536964,-639.9688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25581,8.426849,525.64215,-107.13009,62.27941,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25582,8.395264,523.23364,-107.22519,60.07073,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25583,8.395264,520.76544,-107.22519,57.906906,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25584,8.395264,518.2425,-107.22519,55.78436,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25585,8.395264,515.6696,-107.0985,53.69938,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25586,8.395264,513.051,-106.87672,51.647507,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25587,8.458435,510.3915,-106.55983,49.624733,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25588,8.585129,507.69543,-106.08467,47.626778,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25589,8.77533,504.97552,-105.48283,45.65509,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25590,8.933594,502.23843,-104.97574,43.70735,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25591,9.218903,499.48898,-103.898735,41.777092,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25592,9.377167,496.73074,-103.138275,39.859386,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
25593,9.535797,493.9672,-102.15637,37.94934,-639.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,589.8088231344976,-0.09475708,-0.4119873,0.15894204
