tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
21151,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21152,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21153,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21154,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21155,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21156,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21157,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21158,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21159,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21160,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21161,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21162,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21163,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21164,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21165,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21166,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21167,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21168,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21169,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21170,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21171,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21172,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21173,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21174,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21175,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21176,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21177,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21178,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21179,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21180,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21181,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21182,-0.443573,-25.819336,-115.023766,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21183,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21184,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21185,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21186,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21187,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21188,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21189,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21190,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21191,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21192,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21193,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21194,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21195,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21196,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21197,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21198,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21199,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21200,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21201,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21202,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21203,-0.443573,-25.819336,-114.99218,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21204,-0.443573,-25.819336,-114.960594,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21205,-0.4119873,-25.819336,-114.92901,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21206,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21207,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21208,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21209,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21210,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21211,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21212,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21213,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21214,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21215,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21216,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21217,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21218,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21219,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21220,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21221,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21222,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21223,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21224,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21225,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21226,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21227,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21228,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21229,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21230,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
21231,-0.4119873,-25.819336,-114.89708,-459.69263,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,701.6995339234436,0.06352234,0.031585693,0.0
