tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
64052,7.666748,310.0311,175.03522,-1269.8937,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64053,7.6348114,306.5829,175.00363,-1270.266,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64054,7.6348114,303.11407,174.97168,-1270.5815,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64055,7.6032257,299.62598,174.94012,-1270.845,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64056,7.6032257,296.1204,174.90851,-1271.0602,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64057,7.6032257,292.6089,174.90851,-1271.2305,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64058,7.6032257,289.09564,174.90851,-1271.3595,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64059,7.6032257,285.5812,174.90851,-1271.4509,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64060,7.5081177,282.06604,174.71832,-1271.507,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64061,7.1915894,278.55048,173.92627,-1271.5262,-415.6054,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64062,6.9062805,275.0349,173.07104,-1271.5076,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64063,6.7164307,271.51978,172.1839,-1271.4495,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64064,6.6213226,268.00555,171.29675,-1271.3506,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64065,6.494629,264.4928,170.09308,-1271.2084,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64066,6.399536,260.98233,168.4458,-1271.0178,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64067,6.2728577,257.47525,166.51324,-1270.7731,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64068,6.146164,253.97275,164.73932,-1270.4695,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64069,5.955963,250.47636,162.74323,-1270.1022,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64070,5.7657623,246.98763,161.15948,-1269.6682,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64071,5.607483,243.50768,160.2088,-1269.1687,-415.46875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64072,5.51239,240.03719,159.86035,-1268.6072,-415.94324,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64073,5.51239,236.57632,159.86035,-1267.989,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64074,5.51239,233.12503,159.86035,-1267.3196,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64075,5.51239,229.68312,159.86035,-1266.6034,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64076,5.51239,226.25041,159.86035,-1265.8444,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64077,5.4808044,222.8266,159.86035,-1265.0461,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64078,5.4492188,219.41135,159.82877,-1264.212,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64079,5.4172974,216.00433,159.79718,-1263.3448,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64080,5.4172974,212.60516,159.73364,-1262.4475,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64081,5.3857117,209.21336,159.73364,-1261.5227,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64082,5.3857117,205.80737,159.73364,-1260.5658,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64083,5.3857117,202.38838,159.73364,-1259.5797,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64084,5.3857117,198.95728,159.73364,-1258.5668,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64085,5.354126,195.51648,159.73364,-1257.5295,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64086,5.354126,192.08098,159.73364,-1256.4749,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64087,5.354126,188.6504,159.7656,-1255.4043,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64088,5.354126,185.22432,159.7656,-1254.3193,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64089,5.354126,181.80237,159.7656,-1253.2214,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64090,4.9737244,178.38438,159.70209,-1252.1113,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64091,4.7519226,174.97025,159.57538,-1250.9894,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64092,4.7519226,171.55981,159.48029,-1249.8562,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64093,4.8470306,168.15315,159.29044,-1248.7118,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64094,4.8470306,164.7508,158.81528,-1247.5547,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64095,4.6571655,161.35344,158.18149,-1246.3829,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64096,4.530487,157.96133,157.86462,-1245.196,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64097,4.4985657,154.57423,157.76984,-1243.995,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64098,4.46698,151.19179,157.76984,-1242.7809,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64099,4.46698,147.81361,157.80145,-1241.5549,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64100,4.371872,144.43892,158.05481,-1240.3195,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64101,4.276764,141.06642,158.65665,-1239.078,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64102,4.276764,137.69583,158.72015,-1237.8313,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64103,4.276764,134.32706,158.72015,-1236.5797,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64104,4.276764,130.95992,158.72015,-1235.3237,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64105,4.276764,127.66712,158.72015,-1234.092,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64106,4.276764,124.37568,158.72015,-1232.8567,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64107,4.276764,121.085434,158.72015,-1231.6182,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64108,4.276764,117.79634,158.72015,-1230.3766,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64109,4.276764,114.50825,158.72015,-1229.1323,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64110,4.276764,111.221214,158.72015,-1227.8853,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64111,4.1500854,107.935036,158.72015,-1226.636,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
64112,3.8335419,104.650055,158.49838,-1225.3835,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1,rifle,90.56280656884495,0.1902008,0.15861511,2.3835084
