tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
148853,7.7934265,708.40015,-124.870605,-1110.9722,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148854,7.4133606,710.32666,-129.40076,-1112.3049,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148855,7.5084686,712.1134,-129.49585,-1113.7031,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148856,7.6032257,713.77277,-129.17896,-1115.1614,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148857,7.6032257,715.31506,-129.17896,-1116.6748,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148858,7.6032257,716.7497,-129.17896,-1118.2389,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148859,7.6032257,717.86487,-129.17896,-1119.5835,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148860,7.6032257,718.9037,-129.17896,-1120.9879,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148861,7.6032257,719.87,-129.17896,-1122.4432,-752.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148862,7.6032257,720.7679,-129.17896,-1123.9417,-768.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148863,7.6032257,721.602,-129.17896,-1125.4766,-768.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148864,7.6032257,722.3771,-129.17896,-1127.0421,-768.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148865,7.6032257,723.09753,-129.17896,-1128.6335,-768.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148866,7.6032257,723.7677,-129.17896,-1130.2467,-768.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
148867,7.6032257,724.3919,-129.17896,-1131.8783,-768.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,672.5387468603028,-0.1902008,-1.1405029,0.03714354
