tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
97742,-6.8111877,225.68643,-1.7471619,-1007.88007,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97743,-6.8427734,225.68721,-1.6520691,-1009.184,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97744,-7.0964813,225.6818,-1.2084961,-1010.67065,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97745,-7.3498535,225.67374,-0.57507324,-1012.32513,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97746,-7.57164,225.66711,0.1538086,-1014.134,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97747,-7.761505,225.6663,1.0406189,-1016.0845,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97748,-7.9516907,225.6763,2.1179504,-1018.1649,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97749,-8.046799,225.70158,3.1949615,-1020.36444,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97750,-8.078384,225.747,4.4305725,-1022.67303,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97751,-8.015213,225.81938,6.1410217,-1025.0809,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97752,-7.825012,226.0163,7.693512,-1027.5027,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97753,-7.476532,226.42818,9.784363,-1029.8964,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97754,-6.8427734,227.08974,12.572144,-1032.2451,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97755,-5.987549,227.9494,15.803497,-1034.544,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97756,-4.720337,229.00093,20.048676,-1036.778,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97757,-3.2629395,230.23784,24.737427,-1038.9305,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97758,-1.7107849,231.65262,29.52095,-1040.9852,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97759,-0.2849579,233.2355,33.63945,-1042.93,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97760,1.0769958,234.97565,37.124176,-1044.7566,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97761,2.2494507,236.86182,39.88037,-1046.4603,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
97762,2.8512878,238.88268,41.305847,-1048.0443,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,galilar,rifle,469.8739738396146,0.0,0.0,0.7766781
