tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
113623,7.8885193,784.18823,-5.04718,-1377.0182,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113624,7.8885193,785.8957,-5.1419373,-1376.462,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113625,7.8885193,787.63806,-5.2370453,-1375.9673,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113626,7.920105,789.4127,-5.427246,-1375.5292,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113627,7.9516907,791.21686,-5.7757263,-1375.1442,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113628,7.9832764,793.0478,-6.2824707,-1374.8096,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113629,7.9832764,794.9032,-6.7576294,-1374.5226,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113630,7.9832764,796.7809,-7.2012024,-1374.2809,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113631,7.9832764,798.67914,-7.391388,-1374.0815,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113632,7.9832764,800.5962,-7.4229736,-1373.9209,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113633,7.9832764,802.53076,-7.4229736,-1373.7957,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113634,7.9832764,804.4786,-7.4229736,-1373.7032,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113635,7.9832764,806.4276,-7.4229736,-1373.6412,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113636,7.9832764,808.3773,-7.4229736,-1373.6068,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113637,7.9832764,810.3273,-7.4229736,-1373.5978,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113638,7.9832764,812.2772,-7.4229736,-1373.6119,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113639,7.9832764,814.2269,-7.4229736,-1373.6467,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113640,7.9516907,816.1762,-7.327881,-1373.7002,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113641,7.9516907,818.12494,-7.233124,-1373.77,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113642,7.9516907,820.0731,-7.1060944,-1373.8545,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113643,8.015213,822.0207,-6.852722,-1373.9517,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113644,8.046799,823.9677,-6.5358276,-1374.059,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113645,8.078384,825.9143,-5.9974976,-1374.1741,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113646,8.10997,827.8606,-5.2054596,-1374.2942,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113647,8.141907,829.80676,-4.381836,-1374.4164,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113648,8.173492,831.75287,-3.9066772,-1374.5396,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
113649,8.205078,833.6989,-3.7799835,-1374.6633,-607.96875,76561198991264495,✝****MFS | GaBorO****✝,0,tec9,pistol,128.92329075601947,0.06352234,-0.031929016,1.4386749
