tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
31087,12.1649475,1146.3844,-178.82172,-440.76245,-151.0625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31088,12.6085205,1146.3844,-178.82172,-440.7658,-150.4375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31089,13.083679,1146.3844,-178.85364,-440.76904,-149.8125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31090,13.400574,1146.3844,-178.98033,-440.7719,-149.20312,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31091,13.558838,1146.3844,-179.13861,-440.7743,-148.59375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31092,13.527252,1146.3844,-179.29688,-440.77625,-147.98438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31093,13.527252,1146.3844,-179.29688,-440.7782,-147.375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31094,13.527252,1146.3844,-179.29688,-440.7802,-146.75,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31095,13.527252,1146.3844,-179.29688,-440.78223,-146.14062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31096,13.527252,1146.3844,-179.29688,-440.78418,-145.53125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31097,13.527252,1146.3844,-179.29688,-440.78613,-144.92188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31098,13.527252,1146.3844,-179.29688,-440.78815,-144.3125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31099,13.527252,1146.3844,-179.29688,-440.79016,-143.70312,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31100,13.527252,1146.3844,-179.29688,-440.7921,-143.07812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31101,13.527252,1146.3844,-179.29688,-440.79407,-142.46875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31102,13.527252,1146.3844,-179.29688,-440.79608,-141.85938,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31103,13.527252,1146.3844,-179.29688,-440.7981,-141.25,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31104,13.527252,1146.3844,-179.29688,-440.80005,-140.64062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31105,13.527252,1146.3844,-179.29688,-440.802,-140.03125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31106,13.527252,1146.3844,-179.29688,-440.80402,-139.42188,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31107,13.527252,1146.3844,-179.29688,-440.80603,-138.79688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31108,13.527252,1146.3844,-179.29688,-440.80798,-138.1875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31109,13.527252,1146.3844,-179.29688,-440.80994,-137.57812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31110,13.527252,1146.3844,-179.29688,-440.81195,-136.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31111,13.527252,1146.3844,-179.29688,-440.81396,-136.35938,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31112,13.527252,1146.3844,-179.29688,-440.81592,-135.75,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31113,13.527252,1146.3844,-179.29688,-440.81787,-135.125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31114,13.527252,1146.3844,-179.36038,-440.8197,-134.51562,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31115,13.558838,1146.3844,-179.29688,-440.82166,-133.90625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31116,13.653946,1146.3844,-179.20178,-440.8239,-133.29688,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31117,13.749054,1146.3844,-179.13861,-440.8263,-132.6875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31118,13.907318,1146.3844,-179.01192,-440.8291,-132.07812,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31119,14.065933,1146.3844,-178.91681,-440.83215,-131.48438,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31120,14.192627,1146.3844,-178.88522,-440.83527,-130.89062,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31121,14.319305,1146.3844,-178.88522,-440.83838,-130.28125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31122,14.414398,1146.3844,-178.88522,-440.8415,-129.6875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31123,14.47757,1146.3844,-178.88522,-440.8446,-129.09375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31124,14.541092,1146.3844,-178.88522,-440.84772,-128.5,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31125,14.667786,1146.3844,-178.88522,-440.85083,-127.90625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31126,14.82605,1146.3844,-178.82172,-440.85413,-127.3125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31127,15.047836,1146.3844,-178.72662,-440.85767,-126.734375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31128,15.206451,1146.3844,-178.59993,-440.86157,-126.15625,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31129,15.364716,1146.3844,-178.56834,-440.8656,-125.578125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31130,15.428238,1146.057,-178.53676,-440.8781,-125.09375,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31131,15.428238,1145.6477,-178.53676,-440.8927,-124.8125,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31132,15.428238,1145.1653,-178.53676,-440.90796,-125.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31133,15.459824,1144.6096,-178.53676,-440.92456,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31134,15.491409,1143.9812,-178.53676,-440.94275,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31135,15.586517,1143.28,-178.53676,-440.9626,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31136,15.68161,1142.5061,-178.53676,-440.98395,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31137,15.776703,1141.6594,-178.53676,-441.00684,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31138,15.839874,1140.74,-178.53676,-441.0313,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31139,15.871811,1139.7478,-178.53676,-441.05774,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31140,15.871811,1138.6829,-178.53676,-441.08606,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31141,15.903397,1137.5452,-178.53676,-441.11633,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31142,15.903397,1136.3347,-178.53676,-441.14862,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31143,15.966568,1135.0515,-178.50517,-441.18292,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31144,16.03009,1133.6982,-178.50517,-441.21912,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31145,16.188354,1132.2804,-178.47324,-441.2572,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
31146,16.34697,1130.8033,-178.44165,-441.29675,-123.96875,76561198991264495,✝****MFS | GaBorO****✝,0,ak47,rifle,1069.115733590548,0.031585693,0.0,0.9729445
