tick,pitch,X,yaw,Y,Z,steamid,name,label,weapon_name,weapon_type,kill_distance,pitch_delta_at_kill,yaw_delta_at_kill,player_speed
127917,5.460205,845.8067,-137.71019,-1044.267,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127918,5.555298,845.5907,-137.71019,-1045.0321,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127919,5.6819916,845.27325,-137.64702,-1045.8169,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127920,5.7770996,844.8648,-137.61543,-1046.6254,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127921,5.840271,844.4688,-137.5835,-1047.4962,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127922,5.840271,844.10657,-137.5835,-1048.4475,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127923,5.840271,843.7764,-137.5835,-1049.4894,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127924,5.840271,843.4087,-137.5835,-1050.5659,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127925,5.8721924,842.94653,-137.5835,-1051.6635,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127926,5.8721924,842.37573,-137.5835,-1052.7909,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127927,5.8721924,841.7222,-137.5835,-1053.9447,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127928,5.8721924,840.9474,-137.5835,-1054.9967,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127929,5.903778,840.0613,-137.5835,-1055.9553,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127930,5.935364,839.0729,-137.5835,-1056.8282,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127931,5.935364,837.9903,-137.55191,-1057.6223,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127932,5.935364,836.8211,-137.55191,-1058.3442,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127933,5.935364,835.5725,-137.55191,-1058.9998,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127934,5.935364,834.2508,-137.55191,-1059.5942,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127935,5.935364,832.86224,-137.55191,-1060.1327,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127936,5.935364,831.41223,-137.55191,-1060.6195,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127937,5.935364,829.9057,-137.55191,-1061.0592,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127938,5.935364,828.3471,-137.52032,-1061.4554,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127939,5.903778,826.78217,-137.45682,-1061.7517,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127940,5.8721924,825.2261,-137.42523,-1061.8978,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127941,5.8086853,823.6797,-137.36172,-1061.8782,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127942,5.745163,822.1408,-137.29855,-1061.7317,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127943,5.650406,820.6086,-137.26697,-1061.4691,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127944,5.523712,819.08203,-137.20345,-1061.0999,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127945,5.3335266,817.568,-137.10834,-1060.6611,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127946,5.206833,816.1749,-136.98166,-1060.2573,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127947,5.048218,814.91547,-136.85498,-1059.8923,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127948,4.9534607,813.7583,-136.6967,-1059.557,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127949,4.858368,812.69885,-136.57,-1059.2501,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
127950,4.76326,811.80164,-136.44333,-1059.0508,-415.96875,76561198991264495,✝****MFS | GaBorO****✝,0,m4a1_silencer,rifle,513.4953393867727,0.0,0.0,1.0689448
