pitch,yaw,tick,steamid,name
4.6997375,-121.82018,31726,76561198822643426,XXX
4.6997375,-121.82018,31727,76561198822643426,XXX
4.6997375,-121.82018,31728,76561198822643426,XXX
4.6997375,-121.82018,31729,76561198822643426,XXX
4.6997375,-121.82018,31730,76561198822643426,XXX
4.6997375,-121.82018,31731,76561198822643426,XXX
4.6997375,-121.82018,31732,76561198822643426,XXX
4.6997375,-121.82018,31733,76561198822643426,XXX
4.7326965,-121.46038,31734,76561198822643426,XXX
4.830551,-120.44655,31735,76561198822643426,XXX
4.76532,-119.72729,31736,76561198822643426,XXX
4.76532,-119.07326,31737,76561198822643426,XXX
4.7326965,-118.12466,31738,76561198822643426,XXX
4.797943,-117.405396,31739,76561198822643426,XXX
4.797943,-117.04559,31740,76561198822643426,XXX
4.830551,-116.94775,31741,76561198822643426,XXX
4.9287415,-116.653175,31742,76561198822643426,XXX
5.1577454,-116.12995,31743,76561198822643426,XXX
5.4519653,-115.6723,31744,76561198822643426,XXX
5.648346,-115.378075,31745,76561198822643426,XXX
5.7791443,-115.181694,31746,76561198822643426,XXX
5.876999,-114.9527,31747,76561198822643426,XXX
5.975189,-114.789276,31748,76561198822643426,XXX
6.0078125,-114.691086,31749,76561198822643426,XXX
6.0407715,-114.59324,31750,76561198822643426,XXX
6.17157,-114.39686,31751,76561198822643426,XXX
6.269409,-114.20082,31752,76561198822643426,XXX
6.3676147,-114.037056,31753,76561198822643426,XXX
6.400223,-113.90625,31754,76561198822643426,XXX
6.433182,-113.873634,31755,76561198822643426,XXX
6.433182,-113.873634,31756,76561198822643426,XXX
6.433182,-113.873634,31757,76561198822643426,XXX
6.400223,-113.873634,31758,76561198822643426,XXX
6.400223,-113.873634,31759,76561198822643426,XXX
6.3676147,-113.84102,31760,76561198822643426,XXX
6.3676147,-113.84102,31761,76561198822643426,XXX
6.3676147,-113.84102,31762,76561198822643426,XXX
6.3676147,-113.84102,31763,76561198822643426,XXX
6.3676147,-113.84102,31764,76561198822643426,XXX
6.3676147,-113.873634,31765,76561198822643426,XXX
6.3676147,-113.873634,31766,76561198822643426,XXX
6.3676147,-113.873634,31767,76561198822643426,XXX
6.3349915,-113.873634,31768,76561198822643426,XXX
6.3349915,-113.873634,31769,76561198822643426,XXX
6.3349915,-113.90625,31770,76561198822643426,XXX
6.3349915,-113.90625,31771,76561198822643426,XXX
6.3349915,-113.93921,31772,76561198822643426,XXX
6.3349915,-113.93921,31773,76561198822643426,XXX
6.3349915,-113.971825,31774,76561198822643426,XXX
6.3349915,-113.971825,31775,76561198822643426,XXX
6.302368,-113.971825,31776,76561198822643426,XXX
6.302368,-113.971825,31777,76561198822643426,XXX
6.302368,-113.971825,31778,76561198822643426,XXX
6.302368,-113.971825,31779,76561198822643426,XXX
6.302368,-113.971825,31780,76561198822643426,XXX
6.302368,-113.971825,31781,76561198822643426,XXX
6.302368,-113.971825,31782,76561198822643426,XXX
6.302368,-113.971825,31783,76561198822643426,XXX
6.302368,-113.971825,31784,76561198822643426,XXX
6.302368,-113.971825,31785,76561198822643426,XXX
6.302368,-113.971825,31786,76561198822643426,XXX
6.302368,-113.971825,31787,76561198822643426,XXX
6.302368,-113.971825,31788,76561198822643426,XXX
6.302368,-114.00444,31789,76561198822643426,XXX
6.302368,-114.10263,31790,76561198822643426,XXX
6.302368,-114.20082,31791,76561198822643426,XXX
6.302368,-114.26605,31792,76561198822643426,XXX
6.302368,-114.33163,31793,76561198822643426,XXX
6.204193,-114.527664,31794,76561198822643426,XXX
6.1059875,-114.789276,31795,76561198822643426,XXX
6.0078125,-114.9527,31796,76561198822643426,XXX
5.942566,-115.01827,31797,76561198822643426,XXX
5.942566,-115.01827,31798,76561198822643426,XXX
5.942566,-115.01827,31799,76561198822643426,XXX
5.942566,-115.01827,31800,76561198822643426,XXX
5.942566,-115.01827,31801,76561198822643426,XXX
5.942566,-115.01827,31802,76561198822643426,XXX
